id,title,type,primary_muscle_group,secondary_muscle_groups,equipment,is_custom
3BC06AD3,21s Bicep Curl,weight_reps,biceps,[],barbell,False
B4F2FF72,Ab Scissors,reps_only,abdominals,[],none,False
99D5F10E,Ab Wheel,reps_only,abdominals,[],other,False
5E0DDACE,Aerobics,duration,cardio,[],none,False
43573BB8,Air Bike,duration,cardio,[],machine,False
A69FF221,Arnold Press (Dumbbell),weight_reps,shoulders,[],dumbbell,False
D4A2FE7E,Around The World,weight_reps,chest,"['upper_back', 'shoulders']",dumbbell,False
5BFF35BA,Assisted Pistol Squats,reps_only,quadriceps,"['hamstrings', 'glutes']",none,False
4F5866F8,Back Extension (Hyperextension),reps_only,lower_back,[],machine,False
A05C064D,Back Extension (Machine),weight_reps,lower_back,[],machine,False
091737FA,Back Extension (Weighted Hyperextension),bodyweight_weighted,lower_back,[],machine,False
F51D9080,Ball Slams,weight_reps,full_body,[],other,False
E8D86EE8,Band Pullaparts,reps_only,shoulders,[],resistance_band,False
084A67CA,Battle Ropes,duration,cardio,[],machine,False
714b1e7e-fe41-4656-9dcb-23453f7278d0,Bayesian Curls,weight_reps,biceps,[],other,True
DDB29047,Behind the Back Bicep Wrist Curl (Barbell),weight_reps,forearms,[],barbell,False
CD6DC8E5,Bench Dip,reps_only,triceps,[],other,False
79D0BB3A,Bench Press (Barbell),weight_reps,chest,"['triceps', 'shoulders']",barbell,False
99C1F2AD,Bench Press (Cable),weight_reps,chest,"['triceps', 'shoulders']",machine,False
35B51B87,Bench Press - Close Grip (Barbell),weight_reps,triceps,[],barbell,False
3601968B,Bench Press (Dumbbell),weight_reps,chest,"['triceps', 'shoulders']",dumbbell,False
0FBF7195,Bench Press (Smith Machine),weight_reps,chest,"['triceps', 'shoulders']",machine,False
E644F828,Bench Press - Wide Grip (Barbell),weight_reps,chest,"['triceps', 'shoulders']",barbell,False
EA820646,Bent Over Row (Band),weight_reps,upper_back,[],resistance_band,False
55E6546F,Bent Over Row (Barbell),weight_reps,upper_back,[],barbell,False
23E92538,Bent Over Row (Dumbbell),weight_reps,upper_back,[],dumbbell,False
A5AC6449,Bicep Curl (Barbell),weight_reps,biceps,[],barbell,False
ADA8623C,Bicep Curl (Cable),weight_reps,biceps,[],machine,False
37FCC2BB,Bicep Curl (Dumbbell),weight_reps,biceps,[],dumbbell,False
AF328E3D,Bicep Curl (Machine),weight_reps,biceps,[],machine,False
0B4C1902,Bicep Curl (Suspension),reps_only,biceps,[],suspension,False
A41C7261,Bicycle Crunch,reps_only,abdominals,[],none,False
594450D2,Bicycle Crunch Raised Legs,reps_only,abdominals,[],none,False
BD0AD077,Bird Dog,reps_only,glutes,[],none,False
A0D8FA1B,Boxing,duration,cardio,[],none,False
56092DD1,Box Jump,reps_only,quadriceps,"['hamstrings', 'glutes', 'calves']",other,False
38FC1AB9,Box Squat (Barbell),weight_reps,quadriceps,"['hamstrings', 'glutes']",barbell,False
B5D3A742,Bulgarian Split Squat,weight_reps,quadriceps,"['glutes', 'hamstrings']",dumbbell,False
BB792A36,Burpee,reps_only,full_body,[],none,False
86B00DDE,Burpee Over the Bar,reps_only,full_body,[],none,False
9DCE2D64,Butterfly (Pec Deck),weight_reps,chest,[],machine,False
CC55119B,Cable Core Palloff Press,weight_reps,abdominals,[],machine,False
23A48484,Cable Crunch,weight_reps,abdominals,[],machine,False
651F844C,Cable Fly Crossovers,weight_reps,chest,[],machine,False
8C331CD8,Cable Pull Through,weight_reps,glutes,[],machine,False
92D858EA,Cable Twist (Down to up),weight_reps,abdominals,[],machine,False
A2D838BD,Cable Twist (Up to down),weight_reps,abdominals,[],machine,False
